$Csv : ,RUBY-4X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1839.3156,0.0000,81.2862,4.0000,69.5330,2.0683,0.3603,2.1134
1839.4680,0.0000,87.4450,4.0000,82.1680,1.7798,0.3989,2.1380
1839.6204,0.0000,90.4082,4.0000,87.3700,1.6474,0.4362,2.1647
1839.7728,0.0000,92.2012,4.0000,86.8070,1.6039,0.4438,2.1716
1839.9252,0.0000,94.3753,4.0000,89.6950,1.5840,0.4417,2.1666
1840.0776,0.0000,95.6304,4.0000,95.8470,1.5812,0.4190,2.1591
1840.2300,0.0000,95.3793,4.0000,95.6930,1.5921,0.4061,2.1476
1840.3824,0.0000,95.7636,4.0000,91.7480,1.6085,0.3915,2.1400
1840.5348,0.0000,96.6417,4.0000,88.4910,1.6292,0.3942,2.1679
1840.6872,0.0000,97.6763,4.0000,84.8440,1.6546,0.4035,2.1777
1840.8396,0.0000,98.0663,4.0000,86.1860,1.6819,0.4220,2.1964
1840.9920,0.0000,97.7162,4.0000,90.6520,1.7136,0.4162,2.2036
1841.1444,0.0000,97.3895,4.0000,92.2060,1.7515,0.4083,2.2124
1841.2968,0.0000,96.8041,4.0000,91.6450,1.7926,0.4104,2.2052
1841.4492,0.0000,95.4452,4.0000,92.0700,1.8504,0.4145,2.1909
1841.6016,0.0000,90.7198,4.0000,92.3040,1.9400,0.4251,2.1749
1841.7540,1.0000,86.2424,4.0000,88.5540,2.0526,0.4157,2.1553
1841.9064,1.0000,83.6509,4.0000,85.3330,2.1632,0.3985,2.1407
1842.0588,1.0000,81.6770,4.0000,83.9810,2.2469,0.3884,2.1172
1842.2112,1.0000,79.2297,4.0000,81.9210,2.3031,0.3703,2.1050
1842.3636,1.0000,77.7273,4.0000,80.7940,2.3456,0.3958,2.1070
1842.5160,1.0000,81.7553,4.0000,80.9090,2.3662,0.3970,2.1143
1842.6684,1.0000,93.9849,4.0000,82.6760,2.3585,0.3989,2.1241
1842.8208,1.0000,101.2188,4.0000,84.4890,2.3380,0.3971,2.1369
1842.9732,1.0000,102.2346,4.0000,83.5680,2.3088,0.3943,2.1588
1843.1256,1.0000,103.7400,4.0000,81.7690,2.2666,0.3913,2.2025
